time,cell_type
258,eye_cell.tscn
258,eating_cell.tscn
258,eye_cell.tscn
258,hearing_cell.tscn
258,eating_cell.tscn
258,move_cell.tscn
258,move_cell.tscn
258,neuron_cell.tscn
258,move_cell.tscn
258,rotation_cell.tscn
274,eye_cell.tscn
274,eating_cell.tscn
274,eye_cell.tscn
274,hearing_cell.tscn
274,eating_cell.tscn
274,move_cell.tscn
274,move_cell.tscn
274,neuron_cell.tscn
274,move_cell.tscn
274,rotation_cell.tscn
337,eye_cell.tscn
337,eating_cell.tscn
337,eye_cell.tscn
337,hearing_cell.tscn
337,eating_cell.tscn
337,move_cell.tscn
337,move_cell.tscn
337,neuron_cell.tscn
337,move_cell.tscn
337,rotation_cell.tscn
361,eye_cell.tscn
361,eating_cell.tscn
361,eye_cell.tscn
361,hearing_cell.tscn
361,eating_cell.tscn
361,move_cell.tscn
361,move_cell.tscn
361,neuron_cell.tscn
361,move_cell.tscn
361,rotation_cell.tscn
346,eye_cell.tscn
346,eating_cell.tscn
346,eye_cell.tscn
346,hearing_cell.tscn
346,eating_cell.tscn
346,move_cell.tscn
346,move_cell.tscn
346,neuron_cell.tscn
346,move_cell.tscn
346,rotation_cell.tscn
367,eye_cell.tscn
367,eating_cell.tscn
367,eye_cell.tscn
367,hearing_cell.tscn
367,eating_cell.tscn
367,move_cell.tscn
367,move_cell.tscn
367,neuron_cell.tscn
367,move_cell.tscn
367,rotation_cell.tscn
392,eye_cell.tscn
392,eating_cell.tscn
392,eye_cell.tscn
392,hearing_cell.tscn
392,eating_cell.tscn
392,move_cell.tscn
392,move_cell.tscn
392,neuron_cell.tscn
392,move_cell.tscn
392,rotation_cell.tscn
409,eye_cell.tscn
409,eating_cell.tscn
409,eye_cell.tscn
409,hearing_cell.tscn
409,eating_cell.tscn
409,move_cell.tscn
409,move_cell.tscn
409,neuron_cell.tscn
409,move_cell.tscn
409,rotation_cell.tscn
472,eye_cell.tscn
472,eating_cell.tscn
472,eye_cell.tscn
472,hearing_cell.tscn
472,eating_cell.tscn
472,move_cell.tscn
472,move_cell.tscn
472,neuron_cell.tscn
472,move_cell.tscn
472,rotation_cell.tscn
494,eye_cell.tscn
494,eating_cell.tscn
494,eye_cell.tscn
494,hearing_cell.tscn
494,eating_cell.tscn
494,move_cell.tscn
494,move_cell.tscn
494,neuron_cell.tscn
494,move_cell.tscn
494,rotation_cell.tscn
541,eye_cell.tscn
541,eating_cell.tscn
541,eye_cell.tscn
541,hearing_cell.tscn
541,eating_cell.tscn
541,move_cell.tscn
541,move_cell.tscn
541,neuron_cell.tscn
541,move_cell.tscn
541,rotation_cell.tscn
599,eye_cell.tscn
599,eating_cell.tscn
599,eye_cell.tscn
599,hearing_cell.tscn
599,eating_cell.tscn
599,move_cell.tscn
599,move_cell.tscn
599,neuron_cell.tscn
599,rotation_cell.tscn
586,eye_cell.tscn
586,eating_cell.tscn
586,eye_cell.tscn
586,hearing_cell.tscn
586,eating_cell.tscn
586,move_cell.tscn
586,move_cell.tscn
586,eating_cell.tscn
586,move_cell.tscn
586,rotation_cell.tscn
615,eye_cell.tscn
615,eating_cell.tscn
615,eye_cell.tscn
615,hearing_cell.tscn
615,eating_cell.tscn
615,move_cell.tscn
615,move_cell.tscn
615,eating_cell.tscn
615,move_cell.tscn
615,rotation_cell.tscn
641,eye_cell.tscn
641,eating_cell.tscn
641,eye_cell.tscn
641,hearing_cell.tscn
641,eating_cell.tscn
641,move_cell.tscn
641,move_cell.tscn
641,eating_cell.tscn
641,move_cell.tscn
641,rotation_cell.tscn
659,eye_cell.tscn
659,eating_cell.tscn
659,eye_cell.tscn
659,hearing_cell.tscn
659,eating_cell.tscn
659,move_cell.tscn
659,move_cell.tscn
659,eating_cell.tscn
659,move_cell.tscn
659,rotation_cell.tscn
659,move_cell.tscn
608,eye_cell.tscn
608,eating_cell.tscn
608,eye_cell.tscn
608,hearing_cell.tscn
608,eating_cell.tscn
608,move_cell.tscn
608,move_cell.tscn
608,neuron_cell.tscn
608,move_cell.tscn
608,rotation_cell.tscn
670,eye_cell.tscn
670,eating_cell.tscn
670,eye_cell.tscn
670,hearing_cell.tscn
670,eating_cell.tscn
670,move_cell.tscn
670,move_cell.tscn
670,neuron_cell.tscn
670,move_cell.tscn
670,rotation_cell.tscn
733,eye_cell.tscn
733,eating_cell.tscn
733,eye_cell.tscn
733,hearing_cell.tscn
733,eating_cell.tscn
733,move_cell.tscn
733,move_cell.tscn
733,neuron_cell.tscn
733,move_cell.tscn
733,rotation_cell.tscn
648,eye_cell.tscn
648,eating_cell.tscn
648,eye_cell.tscn
648,rotation_cell.tscn
648,eating_cell.tscn
648,move_cell.tscn
648,move_cell.tscn
648,neuron_cell.tscn
648,move_cell.tscn
648,rotation_cell.tscn
709,eye_cell.tscn
709,eating_cell.tscn
709,eye_cell.tscn
709,hearing_cell.tscn
709,eating_cell.tscn
709,move_cell.tscn
709,move_cell.tscn
709,neuron_cell.tscn
709,move_cell.tscn
709,rotation_cell.tscn
787,eye_cell.tscn
787,eating_cell.tscn
787,eye_cell.tscn
787,hearing_cell.tscn
787,eating_cell.tscn
787,move_cell.tscn
787,move_cell.tscn
787,neuron_cell.tscn
787,move_cell.tscn
787,rotation_cell.tscn
787,hearing_cell.tscn
400,eye_cell.tscn
400,eating_cell.tscn
400,armor_cell.tscn
400,hearing_cell.tscn
400,eating_cell.tscn
400,move_cell.tscn
400,move_cell.tscn
400,neuron_cell.tscn
400,move_cell.tscn
400,rotation_cell.tscn
622,eye_cell.tscn
622,eating_cell.tscn
622,armor_cell.tscn
622,hearing_cell.tscn
622,eating_cell.tscn
622,move_cell.tscn
622,move_cell.tscn
622,neuron_cell.tscn
622,move_cell.tscn
622,rotation_cell.tscn
745,eye_cell.tscn
745,eating_cell.tscn
745,armor_cell.tscn
745,hearing_cell.tscn
745,eating_cell.tscn
745,move_cell.tscn
745,neuron_cell.tscn
745,move_cell.tscn
745,rotation_cell.tscn
437,eye_cell.tscn
437,eating_cell.tscn
437,eye_cell.tscn
437,hearing_cell.tscn
437,eating_cell.tscn
437,move_cell.tscn
437,move_cell.tscn
437,neuron_cell.tscn
437,move_cell.tscn
437,rotation_cell.tscn
476,eye_cell.tscn
476,eating_cell.tscn
476,eye_cell.tscn
476,hearing_cell.tscn
476,eating_cell.tscn
476,move_cell.tscn
476,move_cell.tscn
476,neuron_cell.tscn
476,move_cell.tscn
476,rotation_cell.tscn
499,eye_cell.tscn
499,eating_cell.tscn
499,eye_cell.tscn
499,hearing_cell.tscn
499,eating_cell.tscn
499,move_cell.tscn
499,move_cell.tscn
499,neuron_cell.tscn
499,move_cell.tscn
499,rotation_cell.tscn
563,eye_cell.tscn
563,eye_cell.tscn
563,hearing_cell.tscn
563,eating_cell.tscn
563,move_cell.tscn
563,move_cell.tscn
563,neuron_cell.tscn
563,move_cell.tscn
563,rotation_cell.tscn
676,eye_cell.tscn
676,eating_cell.tscn
676,eye_cell.tscn
676,hearing_cell.tscn
676,eating_cell.tscn
676,move_cell.tscn
676,move_cell.tscn
676,neuron_cell.tscn
676,move_cell.tscn
676,rotation_cell.tscn
676,neuron_cell.tscn
735,eye_cell.tscn
735,eating_cell.tscn
735,eye_cell.tscn
735,hearing_cell.tscn
735,eating_cell.tscn
735,move_cell.tscn
735,move_cell.tscn
735,neuron_cell.tscn
735,move_cell.tscn
735,rotation_cell.tscn
735,neuron_cell.tscn
754,eye_cell.tscn
754,eating_cell.tscn
754,eye_cell.tscn
754,hearing_cell.tscn
754,eating_cell.tscn
754,move_cell.tscn
754,move_cell.tscn
754,neuron_cell.tscn
754,move_cell.tscn
754,rotation_cell.tscn
754,neuron_cell.tscn
964,eye_cell.tscn
964,eating_cell.tscn
964,eye_cell.tscn
964,hearing_cell.tscn
964,eating_cell.tscn
964,move_cell.tscn
964,move_cell.tscn
964,neuron_cell.tscn
964,move_cell.tscn
964,rotation_cell.tscn
964,neuron_cell.tscn
772,eye_cell.tscn
772,eating_cell.tscn
772,eye_cell.tscn
772,hearing_cell.tscn
772,eating_cell.tscn
772,move_cell.tscn
772,move_cell.tscn
772,neuron_cell.tscn
772,move_cell.tscn
772,rotation_cell.tscn
772,neuron_cell.tscn
360,eye_cell.tscn
360,eating_cell.tscn
360,eye_cell.tscn
360,hearing_cell.tscn
360,eating_cell.tscn
360,move_cell.tscn
360,move_cell.tscn
360,neuron_cell.tscn
360,move_cell.tscn
360,rotation_cell.tscn
417,eye_cell.tscn
417,eating_cell.tscn
417,eye_cell.tscn
417,hearing_cell.tscn
417,eating_cell.tscn
417,move_cell.tscn
417,move_cell.tscn
417,neuron_cell.tscn
417,move_cell.tscn
417,rotation_cell.tscn
447,eye_cell.tscn
447,eating_cell.tscn
447,eye_cell.tscn
447,hearing_cell.tscn
447,eating_cell.tscn
447,move_cell.tscn
447,move_cell.tscn
447,neuron_cell.tscn
447,move_cell.tscn
447,rotation_cell.tscn
491,eye_cell.tscn
491,eating_cell.tscn
491,eye_cell.tscn
491,hearing_cell.tscn
491,eating_cell.tscn
491,move_cell.tscn
491,move_cell.tscn
491,neuron_cell.tscn
491,move_cell.tscn
491,rotation_cell.tscn
491,eating_cell.tscn
528,eye_cell.tscn
528,eating_cell.tscn
528,eye_cell.tscn
528,hearing_cell.tscn
528,eating_cell.tscn
528,move_cell.tscn
528,move_cell.tscn
528,neuron_cell.tscn
528,move_cell.tscn
528,rotation_cell.tscn
528,eating_cell.tscn
558,eye_cell.tscn
558,eating_cell.tscn
558,eye_cell.tscn
558,hearing_cell.tscn
558,eating_cell.tscn
558,move_cell.tscn
558,move_cell.tscn
558,neuron_cell.tscn
558,move_cell.tscn
558,rotation_cell.tscn
558,eating_cell.tscn
551,eye_cell.tscn
551,eating_cell.tscn
551,eye_cell.tscn
551,hearing_cell.tscn
551,eating_cell.tscn
551,move_cell.tscn
551,move_cell.tscn
551,neuron_cell.tscn
551,move_cell.tscn
551,rotation_cell.tscn
551,eating_cell.tscn
609,eye_cell.tscn
609,eating_cell.tscn
609,eye_cell.tscn
609,hearing_cell.tscn
609,eating_cell.tscn
609,move_cell.tscn
609,move_cell.tscn
609,neuron_cell.tscn
609,move_cell.tscn
609,rotation_cell.tscn
609,armor_cell.tscn
671,eye_cell.tscn
671,eating_cell.tscn
671,eye_cell.tscn
671,hearing_cell.tscn
671,eating_cell.tscn
671,move_cell.tscn
671,move_cell.tscn
671,neuron_cell.tscn
671,move_cell.tscn
671,rotation_cell.tscn
671,armor_cell.tscn
693,eye_cell.tscn
693,eating_cell.tscn
693,eye_cell.tscn
693,hearing_cell.tscn
693,eating_cell.tscn
693,move_cell.tscn
693,move_cell.tscn
693,neuron_cell.tscn
693,move_cell.tscn
693,rotation_cell.tscn
693,armor_cell.tscn
719,eye_cell.tscn
719,eating_cell.tscn
719,eye_cell.tscn
719,hearing_cell.tscn
719,eating_cell.tscn
719,move_cell.tscn
719,move_cell.tscn
719,neuron_cell.tscn
719,move_cell.tscn
719,rotation_cell.tscn
719,armor_cell.tscn
734,eye_cell.tscn
734,eating_cell.tscn
734,eye_cell.tscn
734,hearing_cell.tscn
734,eating_cell.tscn
734,move_cell.tscn
734,move_cell.tscn
734,neuron_cell.tscn
734,move_cell.tscn
734,rotation_cell.tscn
734,armor_cell.tscn
853,eye_cell.tscn
853,eating_cell.tscn
853,eye_cell.tscn
853,hearing_cell.tscn
853,eating_cell.tscn
853,move_cell.tscn
853,move_cell.tscn
853,neuron_cell.tscn
853,move_cell.tscn
853,rotation_cell.tscn
853,armor_cell.tscn
910,eye_cell.tscn
910,eating_cell.tscn
910,eye_cell.tscn
910,hearing_cell.tscn
910,eating_cell.tscn
910,move_cell.tscn
910,move_cell.tscn
910,neuron_cell.tscn
910,move_cell.tscn
910,rotation_cell.tscn
910,armor_cell.tscn
1020,eye_cell.tscn
1020,eating_cell.tscn
1020,eye_cell.tscn
1020,hearing_cell.tscn
1020,eating_cell.tscn
1020,move_cell.tscn
1020,move_cell.tscn
1020,neuron_cell.tscn
1020,move_cell.tscn
1020,rotation_cell.tscn
1020,armor_cell.tscn
929,eye_cell.tscn
929,eating_cell.tscn
929,eye_cell.tscn
929,hearing_cell.tscn
929,eating_cell.tscn
929,move_cell.tscn
929,move_cell.tscn
929,neuron_cell.tscn
929,move_cell.tscn
929,armor_cell.tscn
929,move_cell.tscn
993,eye_cell.tscn
993,eating_cell.tscn
993,eye_cell.tscn
993,hearing_cell.tscn
993,eating_cell.tscn
993,move_cell.tscn
993,move_cell.tscn
993,neuron_cell.tscn
993,move_cell.tscn
993,rotation_cell.tscn
993,armor_cell.tscn
1027,eye_cell.tscn
1027,eating_cell.tscn
1027,eye_cell.tscn
1027,hearing_cell.tscn
1027,eating_cell.tscn
1027,move_cell.tscn
1027,move_cell.tscn
1027,neuron_cell.tscn
1027,move_cell.tscn
1027,rotation_cell.tscn
1027,hearing_cell.tscn
1027,rotation_cell.tscn
1049,eye_cell.tscn
1049,eating_cell.tscn
1049,eye_cell.tscn
1049,rotation_cell.tscn
1049,eating_cell.tscn
1049,move_cell.tscn
1049,move_cell.tscn
1049,neuron_cell.tscn
1049,move_cell.tscn
1049,rotation_cell.tscn
1049,armor_cell.tscn
825,eye_cell.tscn
825,eating_cell.tscn
825,eye_cell.tscn
825,hearing_cell.tscn
825,eating_cell.tscn
825,move_cell.tscn
825,move_cell.tscn
825,neuron_cell.tscn
825,move_cell.tscn
825,rotation_cell.tscn
825,armor_cell.tscn
901,eye_cell.tscn
901,eating_cell.tscn
901,eye_cell.tscn
901,hearing_cell.tscn
901,eating_cell.tscn
901,move_cell.tscn
901,move_cell.tscn
901,neuron_cell.tscn
901,move_cell.tscn
901,rotation_cell.tscn
901,armor_cell.tscn
945,eye_cell.tscn
945,eating_cell.tscn
945,eye_cell.tscn
945,hearing_cell.tscn
945,eating_cell.tscn
945,move_cell.tscn
945,move_cell.tscn
945,neuron_cell.tscn
945,move_cell.tscn
945,rotation_cell.tscn
945,armor_cell.tscn
991,eye_cell.tscn
991,eating_cell.tscn
991,eye_cell.tscn
991,hearing_cell.tscn
991,move_cell.tscn
991,move_cell.tscn
991,neuron_cell.tscn
991,move_cell.tscn
991,rotation_cell.tscn
991,armor_cell.tscn
1035,eye_cell.tscn
1035,eating_cell.tscn
1035,eye_cell.tscn
1035,hearing_cell.tscn
1035,eating_cell.tscn
1035,move_cell.tscn
1035,move_cell.tscn
1035,neuron_cell.tscn
1035,move_cell.tscn
1035,rotation_cell.tscn
1035,armor_cell.tscn
1115,eye_cell.tscn
1115,eating_cell.tscn
1115,eye_cell.tscn
1115,hearing_cell.tscn
1115,eating_cell.tscn
1115,move_cell.tscn
1115,move_cell.tscn
1115,neuron_cell.tscn
1115,move_cell.tscn
1115,rotation_cell.tscn
1115,armor_cell.tscn
1145,eye_cell.tscn
1145,eating_cell.tscn
1145,eye_cell.tscn
1145,hearing_cell.tscn
1145,eating_cell.tscn
1145,move_cell.tscn
1145,move_cell.tscn
1145,neuron_cell.tscn
1145,move_cell.tscn
1145,rotation_cell.tscn
1145,armor_cell.tscn
1210,eye_cell.tscn
1210,eating_cell.tscn
1210,eye_cell.tscn
1210,hearing_cell.tscn
1210,eating_cell.tscn
1210,move_cell.tscn
1210,move_cell.tscn
1210,neuron_cell.tscn
1210,move_cell.tscn
1210,rotation_cell.tscn
1210,armor_cell.tscn
851,eye_cell.tscn
851,eating_cell.tscn
851,eye_cell.tscn
851,hearing_cell.tscn
851,eating_cell.tscn
851,move_cell.tscn
851,move_cell.tscn
851,neuron_cell.tscn
851,move_cell.tscn
851,rotation_cell.tscn
851,armor_cell.tscn
887,eye_cell.tscn
887,eating_cell.tscn
887,eye_cell.tscn
887,hearing_cell.tscn
887,eating_cell.tscn
887,move_cell.tscn
887,move_cell.tscn
887,neuron_cell.tscn
887,move_cell.tscn
887,rotation_cell.tscn
887,armor_cell.tscn
1036,eye_cell.tscn
1036,eating_cell.tscn
1036,eye_cell.tscn
1036,hearing_cell.tscn
1036,eating_cell.tscn
1036,move_cell.tscn
1036,move_cell.tscn
1036,neuron_cell.tscn
1036,move_cell.tscn
